;kode_sarana;jenis_sarana;nama_pemilik;nama_daop;lokasi;tahun_pembuatan;umur;range_usia;asal_pabrikan
7;K300804;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K300805;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K300806;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K300807;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K300404;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2004;17;11-20 th;ID
7;K300409;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2004;17;11-20 th;ID
7;K300001;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2000;21;21-30 th;ID
7;K300101;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2001;20;11-20 th;ID
7;K300103;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2001;20;11-20 th;ID
7;KMP300701;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;KMP300702;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;KMP306517;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1965;56;>30 th;LN
7;KP306503;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1965;56;>30 th;LN
7;M106703;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1967;54;>30 th;LN
7;M108202;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;M100801;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;MP206502;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1965;56;>30 th;LN
7;CC2039803;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1998;23;21-30 th;LN
7;CC2039804;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1998;23;21-30 th;LN
7;CC2039805;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1998;23;21-30 th;LN
7;CC2039806;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1998;23;21-30 th;LN
7;CC2039807;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1998;23;21-30 th;LN
7;CC2039808;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1998;23;21-30 th;LN
7;CC2018301;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1983;38;>30 th;LN
7;CC2019212;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2017806;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1978;43;>30 th;LN
7;CC2018903;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1989;32;>30 th;LN
7;CC2018902;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1989;32;>30 th;LN
7;CC2018901;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1989;32;>30 th;LN
7;CC2019217;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2019220;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2019218;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2019216;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2019215;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2019214;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2019213;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2019219;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;LN
7;CC2018330;Lokomotif;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1983;38;>30 th;LN
7;SR38803;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1988;33;>30 th;LN
7;SR38810;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1988;33;>30 th;LN
7;SR39405;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1994;27;21-30 th;LN
7;SR39409;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1994;27;21-30 th;LN
7;SI38001;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1980;41;>30 th;LN
7;SI38204;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SI38207;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;SR31302;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2013;8;<=10 th;LN
7;SR31303;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2013;8;<=10 th;LN
7;B00707;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;B00708;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;B00709;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;B00710;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;B00711;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;B00701;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;B00718;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;B00803;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00808;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00809;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00816;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00817;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00818;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00901;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00902;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00903;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00904;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00905;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00906;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00907;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00908;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00909;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00910;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00912;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00913;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00914;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00916;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00917;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00918;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B05403;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1954;67;>30 th;LN
7;B06501;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1965;56;>30 th;LN
7;BP00701;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;BP00702;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;BP00903;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;BP00904;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;B00804;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00805;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00810;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00811;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K106605;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1966;55;>30 th;LN
7;K109504;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K109506;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K108221;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1982;39;>30 th;LN
7;K109510;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
