,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
163,GD4211188,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
164,GD4211189,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
165,GD421119,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
166,GD4211190,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
167,GD4211191,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
168,GD4211192,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
169,GD4211193,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
170,GD4211194,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
171,GD4211195,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
172,GD4211196,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
173,GD4211197,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
174,GD4211198,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
175,GD4211199,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
176,GD421120,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
177,GD4211200,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
178,GD4211201,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
179,GD4211202,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
180,GD4211203,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
181,GD4211204,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
182,GD4211205,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
183,GD4211206,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
184,GD4211207,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
185,GD4211208,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
186,GD4211209,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
187,GD421121,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
188,GD4211210,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
189,GD4211211,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
190,GD4211212,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
191,GD4211213,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
192,GD4211214,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
193,GD4211215,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
194,GD4211216,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
195,GD4211217,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
196,GD4211218,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
197,GD4211219,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
198,GD421122,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
199,GD4211220,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
200,GD4211221,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
201,GD4211222,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
202,GD4211223,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
203,GD4211224,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
204,GD4211225,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
205,GD4211226,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
206,GD4211227,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
207,GD4211228,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
208,GD4211229,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
