"106","K238201","KD2 82201","0","9","23","0","1982","12","30","Aktiv","null","2009-12-28","2019-12-14","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"107","K238202","KD2 82202","0","3","26","0","1982","12","30","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"108","K238204","KD2 82204","0","9","19","0","1982","12","30","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"109","K238208","KD2 82208","0","9","23","0","1982","12","30","Aktiv","null","2009-12-28","2019-12-14","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"110","K238212","KD2 82212","0","3","26","0","1982","12","30","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"115","K238214","KD2 82216","0","3","26","0","1982","10","24","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"118","SK38202","K238217/KD2 82224","0","9","41","0","1982","18","49","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"121","SK38001","K238002/KD2 80202","0","9","41","0","1980","16","43","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"126","K238218","KD2 82229","0","3","26","0","1982","8","20","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"127","SK38701","K238702/KD2 87202","0","9","41","0","1987","7","17","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"186","K320502","KRDE3 05202","0","3","27","0","2005","12","30","Tidak Aktiv","null","2012-12-28","2009-12-28","0000-00-00","HOLEC-PT INKA (Persero)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"187","K320503","KRDE3 05203","0","3","27","0","2005","12","30","Tidak Aktiv","null","2012-12-28","2009-12-28","0000-00-00","HOLEC-PT INKA (Persero)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"188","K320504","KRDE3 05204","0","3","27","0","2005","12","30","Tidak Aktiv","null","2012-12-28","2009-12-28","0000-00-00","HOLEC-PT INKA (Persero)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"189","K320505","KRDE3 05205","0","3","27","0","2005","12","30","Tidak Aktiv","null","2012-12-28","2009-12-28","0000-00-00","HOLEC-PT INKA (Persero)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"202","K330801","KRDI3 08201","0","3","27","0","2008","14","35","Aktiv","null","2008-12-19","2017-03-29","0000-00-00","PT INKA","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"204","K330802","KRDI3 08202","0","3","27","0","2008","14","35","Aktiv","null","2008-12-19","2017-03-29","0000-00-00","PT INKA","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"220","SK38203","KD3 82214/K338205","0","9","41","0","1982","26","66","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"227","K338202","KD3 82209","0","3","26","0","1982","14","36","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"232","K338212","KD3 82244","0","9","23","0","1982","14","34","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"233","K338214","KD3 82255","0","9","23","0","1982","14","34","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"234","K338215","KD3 82256","0","3","26","0","1982","14","36","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"240","K338207","KD3 82219","0","3","26","0","1982","14","34","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"241","K338701","KD3 87204","0","9","23","0","1987","14","36","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"242","K338206","KD3 82215","0","3","26","0","1982","10","24","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"279","K118930","K110603/8929","0","2","3","0","2006","24","42","Aktiv","JEPANG","2009-12-28","2020-12-13","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"280","K118929","K110604/8825","0","2","3","0","2006","24","42","Aktiv","JEPANG","2009-12-28","2021-10-27","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"281","K118927","K110606/8909","0","2","3","0","2006","24","42","Aktiv","JEPANG","2009-12-28","2021-10-27","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"282","K118925","K110608/8504","0","2","3","0","2006","24","42","Aktiv","JEPANG","2009-12-28","2021-10-27","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"283","K118950","K110610/8708","0","2","3","0","2006","24","42","Tidak Aktiv","JEPANG","2009-12-28","2017-04-22","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"284","K118952","K110612/8829","0","2","3","0","2006","24","42","Tidak Aktiv","JEPANG","2009-12-28","2017-04-22","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"285","K118955","K110615/8808","0","2","3","0","2006","24","42","Tidak Aktiv","JEPANG","2009-12-28","2017-04-22","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"286","K118956","K110616/8508","0","2","3","0","1989","24","42","Tidak Aktiv","JEPANG","2009-12-28","2017-04-22","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
"288","K118916","K110702/8711","0","2","3","0","2007","24","42","Aktiv","JEPANG","2009-12-28","2019-09-22","0000-00-00","TOKYO CORP","3","0000-00-00 00:00:00","0000-00-00 00:00:00"
