;NOMOR_IDENTITAS;DAOP;DEPO;JENIS
307;GD4212247;DAOP 8;SDT;GERBONG
308;GD4212248;DAOP 1;JAKG;GERBONG
309;GD4212249;DAOP 1;RK;GERBONG
310;GD4212250;DAOP 1;RK;GERBONG
311;GD4212251;DAOP 1;RK;GERBONG
312;GD4212252;DAOP 1;RK;GERBONG
313;GD4212253;DAOP 1;RK;GERBONG
314;GD4212254 ;DAOP 1;RK;GERBONG
315;GD4212255;DAOP 1;JAKG;GERBONG
316;GD4212256;DAOP 1;JAKG;GERBONG
317;GD4212257;DIVRE 3;SIG;GERBONG
318;GD4212258;DAOP 1;JAKG;GERBONG
319;GD4212259;DAOP 1;JAKG;GERBONG
320;GD4212260;DIVRE 3;SIG;GERBONG
321;GD4212261;DAOP 1;JAKG;GERBONG
322;GD4212262;DAOP 1;JAKG;GERBONG
323;GD4212263;DAOP 1;JAKG;GERBONG
324;GD4212264;DAOP 1;JAKG;GERBONG
325;GD4212265;DAOP 1;JAKG;GERBONG
326;GD4212266;DAOP 1;JAKG;GERBONG
327;GD4212267;DAOP 1;JAKG;GERBONG
328;GD4212268;DAOP 1;JAKG;GERBONG
329;GD4212269;DAOP 1;JAKG;GERBONG
330;GD4212270;DAOP 1;JAKG;GERBONG
331;GD4212271;DAOP 8;SDT;GERBONG
332;GD4212272;DAOP 1;RK;GERBONG
333;GD4212273;DAOP 1;RK;GERBONG
334;GD4212274;DAOP 1;RK;GERBONG
335;GD4212275;DAOP 1;RK;GERBONG
336;GD4212276;DAOP 1;JAKG;GERBONG
337;GD4212277;DAOP 1;RK;GERBONG
338;GD4212278;DAOP 1;RK;GERBONG
339;GD4212280;DAOP 1;RK;GERBONG
340;GD4212281;DAOP 1;RK;GERBONG
341;GD4212282;DAOP 1;RK;GERBONG
342;GD4212283;DAOP 1;JAKG;GERBONG
343;GD4212284;DAOP 1;JAKG;GERBONG
344;GD4212285;DAOP 1;JAKG;GERBONG
345;GD4212286;DAOP 8;SDT;GERBONG
346;GD4212287;DAOP 1;JAKG;GERBONG
347;GD4212288;DAOP 1;JAKG;GERBONG
348;GD4212289;DAOP 1;RK;GERBONG
349;GD4212290;DAOP 1;RK;GERBONG
350;GD4212291;DAOP 1;RK;GERBONG
351;GD4212292;DAOP 1;RK;GERBONG
352;GD4212293;DAOP 1;RK;GERBONG
353;GD4212294;DAOP 1;RK;GERBONG
354;GD4212295;DAOP 1;RK;GERBONG
355;GD4212296;DAOP 1;RK;GERBONG
356;GD4212297;DAOP 1;JAKG;GERBONG
357;GD4212298;DAOP 1;JAKG;GERBONG
358;GD4212299;DAOP 1;JAKG;GERBONG
359;GD4212300;DAOP 1;JAKG;GERBONG
360;GD4212301;DAOP 1;JAKG;GERBONG
361;GD4212302;DAOP 1;RK;GERBONG
362;GD4212303;DAOP 1;RK;GERBONG
363;GD4212304;DAOP 1;RK;GERBONG
364;GD4212305;DAOP 1;JAKG;GERBONG
365;GD4212306;DAOP 1;JAKG;GERBONG
366;GD4212307;DAOP 1;JAKG;GERBONG
367;GD4212308;DAOP 1;JAKG;GERBONG
368;GD4212309;DAOP 1;JAKG;GERBONG
369;GD4212310;DAOP 1;JAKG;GERBONG
370;GD4212311;DAOP 1;JAKG;GERBONG
371;GD4212312;DAOP 1;JAKG;GERBONG
372;GD4212313;DAOP 1;JAKG;GERBONG
373;GD4212314;DAOP 1;JAKG;GERBONG
374;GD4212315;DAOP 1;JAKG;GERBONG
375;GD4212316;DAOP 1;JAKG;GERBONG
376;GD4212317;DAOP 1;JAKG;GERBONG
377;GD4212318;DAOP 1;JAKG;GERBONG
378;GD4212319;DAOP 1;JAKG;GERBONG
379;GD4212320;DAOP 1;JAKG;GERBONG
380;GD4212321;DAOP 1;RK;GERBONG
381;GD4212322;DAOP 1;RK;GERBONG
382;GD4212323;DAOP 1;RK;GERBONG
383;GD4212324;DAOP 1;RK;GERBONG
384;GD4212325;DAOP 1;JAKG;GERBONG
385;GD4212326;DAOP 1;JAKG;GERBONG
386;GD4212327;DIVRE 3;SIG;GERBONG
387;GD4212328;DAOP 1;JAKG;GERBONG
388;GD4212329;DAOP 1;JAKG;GERBONG
389;GD4212330;DAOP 8;SDT;GERBONG
390;GD4212331;DAOP 1;JAKG;GERBONG
391;GD4212332;DAOP 1;JAKG;GERBONG
392;GD4212333;DAOP 1;JAKG;GERBONG
