,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,TAHUN_2,UMUR,RANGE_USIA
7645,K106725,DAOP 5,PWT,KERETA,67,1967,54,>30 th
7646,K107805,DIVRE 1,MDN,KERETA,78,1978,43,>30 th
7647,K108001,DAOP 7,BL,KERETA,80,1980,41,>30 th
7648,K108004,DAOP 6,SLO,KERETA,80,1980,41,>30 th
7649,K108005,DAOP 3,CN,KERETA,80,1980,41,>30 th
7650,K108107,DIVRE 1,MDN,KERETA,81,1981,40,>30 th
7651,K108201,DAOP 6,YK,KERETA,82,1982,39,>30 th
7652,K108202,DAOP 6,SLO,KERETA,82,1982,39,>30 th
7653,K108205,DAOP 5,PWT,KERETA,82,1982,39,>30 th
7654,K108207,DAOP 1,JAKK,KERETA,82,1982,39,>30 th
7655,K108208,DAOP 5,PWT,KERETA,82,1982,39,>30 th
7656,K108209,DAOP 5,PWT,KERETA,82,1982,39,>30 th
7657,K108210,DAOP 8,ML,KERETA,82,1982,39,>30 th
7658,K108211,DAOP 8,ML,KERETA,82,1982,39,>30 th
7659,K108214,DAOP 3,CN,KERETA,82,1982,39,>30 th
7660,K108218,DAOP 2,BD,KERETA,82,1982,39,>30 th
7661,K108219,DAOP 3,CN,KERETA,82,1982,39,>30 th
7662,K108223,DAOP 2,BD,KERETA,82,1982,39,>30 th
7663,K108402,DAOP 8,ML,KERETA,84,1984,37,>30 th
7664,K108403,DAOP 8,ML,KERETA,84,1984,37,>30 th
7665,K108404,DAOP 8,ML,KERETA,84,1984,37,>30 th
7666,K108406,DAOP 1,JAKK,KERETA,84,1984,37,>30 th
7667,K108408,DIVRE 3,KPT,KERETA,84,1984,37,>30 th
7668,K108412,DAOP 8,ML,KERETA,84,1984,37,>30 th
7669,K108413,DAOP 7,BL,KERETA,84,1984,37,>30 th
7670,K108415,DAOP 8,ML,KERETA,84,1984,37,>30 th
7671,K108416,DAOP 7,BL,KERETA,84,1984,37,>30 th
7672,K108417,DAOP 6,SLO,KERETA,84,1984,37,>30 th
7673,K108501,DAOP 3,CN,KERETA,85,1985,36,>30 th
7674,K108602,DAOP 7,BL,KERETA,86,1986,35,>30 th
7675,K108603,DAOP 6,SLO,KERETA,86,1986,35,>30 th
7676,K108604,DAOP 6,SLO,KERETA,86,1986,35,>30 th
7677,K108605,DAOP 3,CN,KERETA,86,1986,35,>30 th
