,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,tgl_masa_uji,STATUS_UJI
434,GD4212453,DAOP 1,RK,GERBONG,2020-09-21,Kadaluarsa
435,GD4212454,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
436,GD4212455,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
437,GD4212456,DIVRE 3,SIG,GERBONG,2022-04-30,Masih Berlaku
438,GD4212457,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
439,GD4212458,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
440,GD4212459,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
441,GD4212460,DIVRE 3,SIG,GERBONG,2020-07-13,Kadaluarsa
442,GD4212461,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
443,GD4212462,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
444,GD4212463,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
445,GD4212464,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
446,GD4212465,DAOP 1,JAKG,GERBONG,2020-09-21,Kadaluarsa
447,GD4212466,DIVRE 3,SIG,GERBONG,2020-10-26,Kadaluarsa
448,GD4212467,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
449,GD4212468,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
450,GD4212469,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
451,GD4212470,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
452,GD4212471,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
453,GD4212472,DIVRE 3,SIG,GERBONG,2007-01-01,Kadaluarsa
454,GD4212473,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
455,GD4212474,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
456,GD4212475,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
457,GD4212476,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
458,GD4212477,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
459,GD4212478,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
460,GD4212479,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
461,GD4212480,DAOP 1,JAKG,GERBONG,2007-01-01,Kadaluarsa
462,GD4212484,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
463,GD4212485,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
464,GD4212486,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
465,GD4212487,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
466,GD4212488,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
467,GD4212489,DAOP 1,JAKG,GERBONG,2020-11-28,Kadaluarsa
468,GD4212490,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
469,GD4212492,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
470,GD4212493,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
471,GD4212494,DIVRE 3,SIG,GERBONG,2007-01-01,Kadaluarsa
472,GD4212496,DAOP 1,JAKG,GERBONG,2020-02-23,Kadaluarsa
473,GD4212497,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
474,GD4212498,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
475,GD4212499,DAOP 1,JAKG,GERBONG,2020-11-28,Kadaluarsa
476,GD4212500,DIVRE 3,SIG,GERBONG,2022-01-22,Masih Berlaku
477,GD4212501,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
478,GD4212502,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
479,GD4212503,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
480,GD4212504,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
481,GD4212505,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
482,GD4212506,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
483,GD4212507,DAOP 8,SDT,GERBONG,2007-01-01,Kadaluarsa
484,GD4212508,DAOP 8,SDT,GERBONG,2020-02-23,Kadaluarsa
485,GD4212509,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
