;NOMOR_IDENTITAS;DAOP;DEPO;JENIS;TAHUN;DAOP2;DAOP3;NAMA_DAOP;NAMA_DAOP2;NAMA_DEPO
8607;P06816;DAOP 8 SURABAYA;SDT;KERETA;68;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8608;P06817;DAOP 1 JAKARTA;JAKK;KERETA;68;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8609;P07802;DAOP 8 SURABAYA;SBI;KERETA;78;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8610;P07803;DAOP 6 YOGYAKARTA;SLO;KERETA;78;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8611;P07805;DIVRE I SUMATERA UTARA;MDN;KERETA;78;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8612;P07807;DAOP 3 CIREBON;CN;KERETA;78;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8613;P07808;DIVRE I SUMATERA UTARA;MDN;KERETA;78;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8614;P08001;DAOP 3 CIREBON;CN;KERETA;80;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8615;P08002;DAOP 8 SURABAYA;SBI;KERETA;80;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8616;P08202;DAOP 4 SEMARANG;SMC;KERETA;82;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8617;P08203;DAOP 4 SEMARANG;SMC;KERETA;82;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8618;P08401;DAOP 8 SURABAYA;ML;KERETA;84;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8619;P08402;DAOP 1 JAKARTA;JAKK;KERETA;84;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8620;P09501;DAOP 1 JAKARTA;JAKK;KERETA;95;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8621;P09502;DAOP 8 SURABAYA;ML;KERETA;95;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8622;P09601;DAOP 1 JAKARTA;JAKK;KERETA;96;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8623;P09801;DAOP 8 SURABAYA;ML;KERETA;98;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8624;P09802;DAOP 8 SURABAYA;SDT;KERETA;98;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8625;SI06701;DAOP 1 JAKARTA;JAKK;KERETA;67;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8626;K106413;DAOP 7 MADIUN;BL;KERETA;64;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8627;K101801;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8628;K101802;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8629;K101803;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8630;K101804;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8631;K101805;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8632;K101806;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8633;K101807;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8634;K101808;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8635;K101809;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8636;K101810;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8637;K301801;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8638;K301802;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8639;K301803;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8640;K301804;DAOP 1 JAKARTA;JAKK;KERETA;18;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8641;K301805;DAOP 2 BANDUNG;BD;KERETA;18;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8642;K301806;DAOP 2 BANDUNG;BD;KERETA;18;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
