"93","GT 50 00 48","GGW PULP 506061","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"94","GT 50 00 49","GGW PULP 506062","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"95","GT 50 00 50","GGW PULP 506064","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"96","GT 50 00 51","GGW PULP 506065","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"97","GT 50 00 52","GGW PULP 506066","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"98","GT 50 00 53","GGW PULP 506067","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"99","GT 50 00 54","GGW PULP 506068","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"100","GT 50 00 55","GGW PULP 506069","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"101","GT 50 00 56","GGW PULP 506070","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"102","GT 50 00 57","GGW PULP 506071","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"103","GT 50 00 58","GGW PULP 506072","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"104","GT 50 00 59","GGW PULP 506074","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"105","GT 50 00 60","GGW PULP 506076","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"106","GT 50 00 61","GGW PULP 506078","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"107","GT 50 00 62","GGW PULP 506079","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"108","GT 50 00 63","GGW PULP 506081","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"109","GT 50 00 64","GGW PULP 506082","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"110","GT 50 00 65","GGW PULP 506083","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"111","GT 50 00 66","GGW PULP 506085","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"112","GT 50 00 67","GGW PULP 506086","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"113","GT 50 00 68","GGW PULP 506087","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"114","GT 50 00 69","GGW PULP 506088","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"115","GT 50 00 70","GGW PULP 506089","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"116","GT 50 00 71","GGW PULP 506090","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"117","GT 50 00 72","GGW PULP 506091","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"118","GT 50 00 73","GGW PULP 506092","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"119","GT 50 00 74","GGW PULP 506094","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"120","GT 50 00 75","GGW PULP 506095","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"121","GT 50 00 76","GGW PULP 506096","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"122","GT 50 00 77","GGW PULP 506097","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"123","GT 50 00 78","GGW PULP 506098","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"124","GT 50 00 79","GGW PULP 506099","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"125","GT 50 00 80","GGW PULP 506101","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"126","GT 50 00 81","GGW PULP 506102","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"127","GT 50 00 82","GGW PULP 506103","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"128","GT 50 00 83","GGW PULP 506104","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"129","GT 50 00 84","GGW PULP 506105","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"130","GT 50 00 85","GGW PULP 506106","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"131","GT 50 00 86","GGW PULP 506107","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"132","GT 50 00 87","GGW PULP 506108","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"133","GT 50 00 88","GGW PULP 506109","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"134","GT 50 00 89","GGW PULP 506110","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"135","GT 50 00 90","GGW PULP 506111","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
