"89","KA.405/SK.03/DJKA/1/2017","2017-01-20","SK Dirjen tentang Penetapan Identitas ...","1","3",NULL,NULL,NULL
"90","KA.405/SK.05/DJKA/1/2017","2017-01-24","SK Dirjen tentang Penetapan Identitas ...","3","10",NULL,NULL,NULL
"91","KA.405/SK.06/DJKA/1/2017","2017-01-24","SK Dirjen tentang Penetapan Identitas ...","3","20",NULL,NULL,NULL
"92","KA.405/SK.07/DJKA/1/2017","2017-01-24","SK Dirjen tentang Penetapan Identitas ...","2","22",NULL,NULL,NULL
"93","KA.405/SK.12/DJKA/2/2017","2017-02-08","SK Dirjen tentang Penetapan Identitas ...","3","776",NULL,NULL,NULL
"94","KA.405/SK.17/DJKA/2/2017","2017-02-13","SK Dirjen tentang Penetapan Identitas ...","2","36",NULL,NULL,NULL
"95","KA.405/SK.19/DJKA/2/2017","2017-02-14","SK Dirjen tentang Penetapan Identitas ...","2","38",NULL,NULL,NULL
"96","KA.405/SK.20/DJKA/2/2017","2017-02-14","SK Dirjen tentang Penetapan Identitas ...","2","2",NULL,NULL,NULL
"97","KA.405/SK.32/DJKA/3/2017","2017-03-14","SK Dirjen tentang Penetapan Identitas ...","2","7",NULL,NULL,NULL
"98","KA.405/SK.55/DJKA/4/2017","2017-04-20","SK Dirjen tentang Penetapan Identitas ...","2","1",NULL,NULL,NULL
"99","KA.405/sk.79/DJKA/5/2017","2017-05-30","SK Dirjen tentang Penetapan Identitas ...","2","66",NULL,NULL,NULL
"100","KA.405/SK.89/DJKA/6/2017","2017-06-19","SK Dirjen tentang Penetapan Identitas ...","2","8",NULL,NULL,NULL
"101","KA.405/SK.100/DJKA/6/2017","2017-06-22","SK Dirjen tentang Penetapan Identitas ...","2","4",NULL,NULL,NULL
"102","KA.405/SK.101/DJKA/6/2017","2017-06-22","SK Dirjen tentang Penetapan Identitas ...","3","20",NULL,NULL,NULL
"103","KA.405/SK.142/DJKA/8/2017","2017-08-14","SK Dirjen tentang Penetapan Identitas ...","3","20",NULL,NULL,NULL
"104","KA.405/SK.143/DJKA/8/2017","2017-08-14","SK Dirjen tentang Penetapan Identitas ...","1","1",NULL,NULL,NULL
"105","KA.405/SK.144/DJKA/8/2017","2017-08-15","SK Dirjen tentang Penetapan Identitas ...","8","6",NULL,NULL,NULL
"106","KA.405/SK.145/DJKA/8/2017","2017-08-21","SK Dirjen tentang Penetapan Identitas ...","4","6",NULL,NULL,NULL
"107","KA.405/SK.170/DJKA/9/2017","2017-09-22","SK Dirjen tentang Penetapan Identitas ...","1","1",NULL,NULL,NULL
