id;kode_sarana;kode_sarana_lama;id_kartu;jenis_sarana;sub_jenis_sarana;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update;expired_month;expired_year;status_masauji
8804;GD421155;;;Gerbong;7;54.0;2011;7;19;Aktiv;;03/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7864;GD421135;;;Gerbong;7;54.0;2011;7;19;Aktiv;;31/07/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7848;GD421132;;;Gerbong;7;54.0;2011;7;19;Aktiv;;31/07/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7705;GD4211243;;;Gerbong;7;54.0;2011;7;19;Aktiv;;27/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7685;GD4211223;;;Gerbong;7;54.0;2011;7;19;Aktiv;;27/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7668;GD4211206;;;Gerbong;7;54.0;2011;7;19;Aktiv;;27/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7663;GD4211201;;;Gerbong;7;54.0;2011;7;19;Aktiv;;27/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7563;GD4211102;;;Gerbong;7;54.0;2011;7;19;Aktiv;;20/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
9065;GD4212507;;;Gerbong;7;54.0;2012;7;19;Aktiv;;29/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
9052;GD4212494;;;Gerbong;7;54.0;2012;7;19;Aktiv;;29/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7903;GD4212480;;;Gerbong;7;54.0;2012;7;19;Aktiv;;29/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7894;GD4212472;;;Gerbong;7;54.0;2012;7;19;Aktiv;;29/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7866;GD4212452;;;Gerbong;7;54.0;2012;7;19;Aktiv;;29/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7859;GD4212447;;;Gerbong;7;54.0;2012;7;19;Aktiv;;29/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7847;GD4212437;;;Gerbong;7;54.0;2012;7;19;Aktiv;;29/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7812;GD4212324;;;Gerbong;7;54.0;2012;7;19;Aktiv;;17/01/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7713;GD4212225;;;Gerbong;7;54.0;2012;7;19;Aktiv;;28/12/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
8026;GD421381;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7975;GD421350;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7960;GD421341;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
12770;GD4214459;;;Gerbong;7;0.0;2014;7;19;Aktiv;;08/12/2014;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
12757;GD4214446;;;Gerbong;7;0.0;2014;7;19;Aktiv;;08/12/2014;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
12742;GD4214431;;;Gerbong;7;0.0;2014;7;19;Aktiv;;08/12/2014;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
12736;GD4214424;;;Gerbong;7;0.0;2014;7;19;Aktiv;;08/12/2014;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
12718;GD4214406;;;Gerbong;7;0.0;2014;7;19;Aktiv;;08/12/2014;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
12542;GD4214230;;;Gerbong;7;0.0;2014;7;19;Aktiv;;06/10/2014;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
9086;GD4213222;;;Gerbong;7;54.0;2013;7;19;Aktiv;;0000-00-00;31/07/2013;0000-00-00;PT INKA;2;;;2013-07;2013;Expired
12275;GD4213173;;;Gerbong;7;0.0;2013;7;19;Aktiv;;22/01/2014;29/09/2018;0000-00-00;PT INKA;2;;;2018-09;2018;Expired
7659;GD4211197;;;Gerbong;7;54.0;2011;7;19;Aktiv;;14/02/2012;27/01/2019;0000-00-00;PT INKA;2;;;2019-01;2019;Expired
7827;GD4212336;;;Gerbong;7;54.0;2012;7;19;Aktiv;;17/01/2013;27/01/2019;0000-00-00;PT INKA;2;;;2019-01;2019;Expired
7957;GD421339;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;27/01/2019;0000-00-00;PT INKA;2;;;2019-01;2019;Expired
12404;GD421492;;;Gerbong;7;0.0;2014;7;19;Aktiv;;22/07/2014;27/01/2019;0000-00-00;PT INKA;2;;;2019-01;2019;Expired
12371;GD421459;;;Gerbong;7;0.0;2014;7;19;Aktiv;;22/07/2014;27/01/2019;0000-00-00;PT INKA;2;;;2019-01;2019;Expired
12348;GD421436;;;Gerbong;7;0.0;2014;7;19;Aktiv;;22/07/2014;10/03/2019;0000-00-00;PT INKA;2;;;2019-03;2019;Expired
7999;GD421365;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;08/09/2019;0000-00-00;PT INKA;2;;;2019-09;2019;Expired
7966;GD421344;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;08/09/2019;0000-00-00;PT INKA;2;;;2019-09;2019;Expired
7922;GD421307;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;08/09/2019;0000-00-00;PT INKA;2;;;2019-09;2019;Expired
12398;GD421486;;;Gerbong;7;0.0;2014;7;19;Aktiv;;22/07/2014;08/09/2019;0000-00-00;PT INKA;2;;;2019-09;2019;Expired
12418;GD4214106;;;Gerbong;7;0.0;2014;7;19;Aktiv;;22/07/2014;08/09/2019;0000-00-00;PT INKA;2;;;2019-09;2019;Expired
12430;GD4214118;;;Gerbong;7;0.0;2014;7;19;Aktiv;;22/07/2014;13/10/2019;0000-00-00;PT INKA;2;;;2019-10;2019;Expired
9094;GD4213245;;;Gerbong;7;54.0;2013;7;19;Aktiv;;0000-00-00;20/10/2019;0000-00-00;PT INKA;2;;;2019-10;2019;Expired
12689;GD4214377;;;Gerbong;7;0.0;2014;7;19;Aktiv;;02/12/2014;20/10/2019;0000-00-00;PT INKA;2;;;2019-10;2019;Expired
7643;GD4211181;;;Gerbong;7;54.0;2011;7;19;Aktiv;;20/02/2012;08/11/2019;0000-00-00;PT INKA;2;;;2019-11;2019;Expired
7575;GD4211114;;;Gerbong;7;54.0;2011;7;19;Aktiv;;20/02/2012;17/11/2019;0000-00-00;PT INKA;2;;;2019-11;2019;Expired
8029;GD421383;;;Gerbong;7;54.0;2013;7;19;Aktiv;;26/06/2013;17/11/2019;0000-00-00;PT INKA;2;;;2019-11;2019;Expired
